Name,Address,Locality,Region,Postal Code,Telephone,Website,Category
Latta Music Co,3332 W Main St,"Dothan, ",AL,36305,(334) 793-6011,http://www.lattamusic.com,Pianos & Organs
Tadlock Pianos & Organs,1510 Montgomery Hwy,"Dothan, ",AL,36303,(334) 793-5527,http://www.tadlockorgan.com,"Pianos & Organ-Tuning, Repair &..."
A 440 Whitman Piano Tuning,2257 Montgomery Hwy,"Dothan, ",AL,36303,(334) 794-5214,http://www.whitmanmusic.com,"Pianos & Organ-Tuning, Repair &..."
Whitman Computers & Music Inc.,2257 Montgomery Hwy.,"Dothan, ",AL,36303,(334) 794-5214,NA,"Pianos & Organ-Tuning, Repair &..."
Dailey Piano Shop,807 Gonzales Dr,"Dothan, ",AL,36305,(334) 792-0991,http://www.daileypianoshop.com,"Pianos & Organ-Tuning, Repair &..."
Dailey Piano Shop,1700 Headland Ave,"Dothan, ",AL,36303,(334) 792-0991,http://www.daileypianoshop.com,"Pianos & Organ-Tuning, Repair &..."
Whitman Furniture Restoration,2257 Montgomery Hwy,"Dothan, ",AL,36303,(334) 671-2274,http://www.whitmanmusic.com,Furniture Repair & Refinish
Latta Music Co,NA,NA,NA,NA,NA,NA,NA
Latta Music Co,NA,NA,NA,NA,NA,NA,Pianos & Organs
Tadlock Pianos & Organs,1510 Montgomery Hwy,"Dothan, ",AL,36303,(334) 793-5527,http://www.tadlockorgan.com,"Pianos & Organ-Tuning, Repair &..."
A 440 Whitman Piano Tuning,2257 Montgomery Hwy,"Dothan, ",AL,36303,(334) 794-5214,http://www.whitmanmusic.com,"Pianos & Organ-Tuning, Repair &..."
Whitman Computers & Music Inc.,2257 Montgomery Hwy.,"Dothan, ",AL,36303,(334) 794-5214,NA,"Pianos & Organ-Tuning, Repair &..."
Dailey Piano Shop,1700 Headland Ave,"Dothan, ",AL,36303,(334) 792-0991,http://www.daileypianoshop.com,"Pianos & Organ-Tuning, Repair &..."
Whitman Furniture Restoration,2257 Montgomery Hwy,"Dothan, ",AL,36303,(334) 671-2274,http://www.whitmanmusic.com,Furniture Repair & Refinish
Latta Music Co,3332 W Main St,"Dothan, ",AL,36305,(334) 793-6011,http://www.lattamusic.com,Pianos & Organs
Dailey Piano Shop,807 Gonzales Dr,"Dothan, ",AL,36305,(334) 792-0991,http://www.daileypianoshop.com,"Pianos & Organ-Tuning, Repair &..."
Glovers Piano Shop,13610 W US 84,"Newton, ",AL,36352,(334) 692-3810,NA,"Pianos & Organ-Tuning, Repair &..."
Doug Piano Tuning & Repair,962 Enterprise Rd,"Colquitt, ",GA,39837,(229) 758-6542,NA,"Pianos & Organ-Tuning, Repair &..."
Latta Music Co,NA,NA,NA,NA,NA,NA,NA
Buddy Gray Music Center,NA,"Vestavia Hills, ",AL,35405,(205) 822-0482,NA,Flooring Installation Equipment &...
Dove Electronics Certified Organ & Keyboard Service,NA,NA,NA,NA,(205) 647-1511,NA,Musical Instruments-Repair
Kannon Piano Service,NA,"Moody, ",AL,35004,(205) 960-8583,NA,"Pianos & Organ-Tuning, Repair &..."
Piano Tuner/ Techician,NA,"Birmingham, ",AL,35217,(205) 480-5583,NA,"Pianos & Organ-Tuning, Repair &..."
Robertson Piano,NA,NA,NA,NA,(205) 693-9963,http://www.robertsonpianotuning.com,"Pianos & Organ-Tuning, Repair &..."
Professional Results Piano Tuning,NA,NA,NA,NA,(205) 617-3936,http://proresultspiano.vpweb.com,"Pianos & Organ-Tuning, Repair &..."
Artvisions Media Arts Associates,NA,"Homewood, ",AL,35209,(205) 945-8324,NA,"Pianos & Organ-Tuning, Repair &..."
Dove Electronics Certified Organ & Keyboard Service,NA,"Warrior, ",AL,35180,(205) 647-1511,NA,"Pianos & Organ-Tuning, Repair &..."
